,Q0,Q1,Q2,Q3
76,The instructions were clear and not confusing at all. ,The interface was not difficult to use. ,No technical problems,
77,"Easy to understand, not too long",not once i got the hang of it,no,no
78,They were easy to understand.,No,No,No
79,"The instructions were easy to understand, not too long.","No, the interface was clean and easy to use.",Everything worked as I assume it should have.,Cool experiment!
80,"the last part where you had to choose left or right was a little confusing at first,it made me worry if i would miss click howver the practice one was a good help with understanding.",no,no it all worked well,
81,"no, they were very simple to understand",no,no everything worked fine!,"i would make let the trial round start over if an answer isnt put in. for the last round, i had mixed up the jeys (I hit ""D"" instead of ""J"") and i couldnt view either image"
82,the instructions were written well,n/a,n/a,
83,"No, I understood them easily.",No.,No.,"This was a fun study to do, I enjoyed working on my memory!"
84,no,no,no,I feel like I have a way worse memory than I thought.
85,"No, the example where very helpful.",,,
86,"Not too confusing, got the hang of it pretty quick.",No.,No.,
87,A little confusing for the last one,no,no,
88,Nope! The instructions were clear and the practice session was very helpful. ,I found the interface straightforward. ,No technical problems,None I can think of. Thanks!
89,The JK and DF. I made a mistake but I couldn't go back.,,,Some of the words could be confusing to spell.
90,"the instructions were clear, but a little long","no, it was easy",nope,this was a lot harder than I thought it was going to be!!!
91,nope,not really,nope,nope
92,the last section was confusing on the instructions,,,
93,No,No,No,
94,"The instructions were easy to follow, but it may help to explain how many image/word pairs will be shown so we can anticipate how long each excercise will be.","No, it was very easy.",No,
95,,,,
96,no they were perfect,the last study was a bit hard with the switching and choosing,nope,great study!
97,,,,
98,"They were a little confusing at first, but I was able to understand after a few practices. ",Not at all. ,N/A,
