wid,practice,first_word,second_word,presentation_times,typing_rt,word,response,response_rt,response_type
w62d4acb,False,follower,penguin,[1053.5650000019232],1388.0,follower,follower,2662.799999998184,correct
w62d4acb,False,winner,cauliflower,"[1558.499999999185, 1329.939999995986]",3286.0,cauliflower,cauliflower,5930.909999995492,correct
w7e92842,True,major,bug,"[5017, 2835, 5029]",13837.0,major,major,14546.0,correct
w7e92842,False,keeper,carrot,[2563],2935.0,keeper,keeper,3846.0,correct
w7e92842,False,cookie,scenery,[1484],1901.0,cookie,cookie,2790.0,correct
w7e92842,False,pizza,grizzly,[1394],2036.0,pizza,pizza,2834.0,correct
w7e92842,False,atom,jeans,[989],1338.0,atom,atom,2148.0,correct
w7e92842,False,cue,sand,[1675],1990.0,cue,cue,3655.0,correct
w7e92842,False,villain,finger,[1158],1844.0,villain,villian,3555.0,other
w7e92842,False,empire,goat,[1146],1394.0,empire,empire,3734.0000000001164,correct
w7e92842,False,society,tulip,[1157],1450.0,society,society,2755.0,correct
w7e92842,False,application,saxophone,"[3487, 2318]",6930.0,saxophone,saxophone,8696.000000000116,correct
wb904b78,True,permit,sand,"[2837.0, 2080.0, 1368.0, 5575.0]",13765.0,sand,sand,15654.999999999942,correct
wb904b78,False,goat,empire,[1653.0000000000582],3731.0,goat,goat,4935.0,correct
wb904b78,False,pillow,cue,[1157.0000000001164],2655.0,pillow,pillow,3855.0,correct
wb904b78,False,ear,villain,[1629],2111.0,ear,ear,3495.0,correct
wb904b78,False,quill,crook,[1245],2415.0,quill,quill,3431.0,correct
wb904b78,False,community,tiger,[1398],2336.0,community,community,5976.0,correct
wb904b78,False,territory,cookie,[3222.9999999998836],3656.0,territory,territory,7239.999999999884,correct
wb904b78,False,major,strawberry,[1318],2032.0,major,major,2864.0000000001164,correct
wb904b78,False,tread,finger,[1245],1791.0,tread,tread,2655.0,correct
wb904b78,False,transplant,bed,[1014.0],1632.0,transplant,transplant,5376.0,correct
w9583e0f,True,keeper,quill,"[1857.400000008056, 1121.275000012247]",3253.0,quill,quill,3985.2950000204146,correct
w9583e0f,False,bug,suburb,[765.8949999895412],1124.0,bug,bug,1494.5850000076462,correct
w9583e0f,False,stranger,frog,[792.9200000071432],1123.0,stranger,stranger,1996.0549999959767,correct
w9583e0f,False,ear,idol,[934.5549999852665],1156.0,ear,ear,1737.120000005234,correct
w9583e0f,False,donor,tomato,[622.5949999934528],1251.0,donor,donor,1877.39499998861,correct
w9583e0f,False,enemy,gravel,[920.4050000116695],1172.0,enemy,enemy,2020.9949999989476,correct
w9583e0f,False,goddess,stairs,[660.9800000151154],2369.0,goddess,goddess,3474.4250000221655,correct
w9583e0f,False,house,editorial,[798.5899999912363],1128.0,house,house,1565.1599999982864,correct
w9583e0f,False,finger,cue,[625.5349999992177],989.0,finger,finger,1546.1899999936577,correct
w9583e0f,False,baby,rebel,[614.5100000139792],958.0,baby,baby,1567.2799999883864,correct
w237b2c9,True,villain,tractor,[3567],4529.0,villain,villain,5511.0,correct
w237b2c9,False,eagle,fellow,"[2882, 1649, 1117]",6170.0,eagle,eagle,6857.0,correct
w237b2c9,False,society,parrot,[1166],1551.0,society,society,2465.0,correct
w237b2c9,False,handkerchief,transplant,[666],1131.0,handkerchief,handkerchief,4604.0,correct
w237b2c9,False,agent,cauliflower,[904],1416.0,agent,agent,1959.0,correct
w237b2c9,False,hero,seagull,[480],1224.0,hero,hero,1653.0,correct
w237b2c9,False,saxophone,permit,[522],2975.0,saxophone,saxophone,6217.0,correct
w237b2c9,False,quill,empire,[521],1021.0,quill,quill,1733.0,correct
w237b2c9,False,neck,goddess,[288],1627.0,neck,neck,2628.0,correct
w237b2c9,False,elephant,roost,[510],1278.0,elephant,elephant,2287.0,correct
w99b2ef5,True,bed,lover,[2509.8699999507517],2898.0,bed,bed,3537.9749999847263,correct
w99b2ef5,False,empire,pig,[1038.5000000242144],1334.0,empire,empire,2446.3700000196695,correct
w99b2ef5,False,stranger,ear,[861.8150000693277],1042.0,stranger,stranger,2417.560000088997,correct
w99b2ef5,False,atom,saxophone,[885.1849999045953],1069.0,atom,atom,2001.2349999742582,correct
w99b2ef5,False,mister,parrot,[794.400000013411],1215.0,mister,mister,2802.3899999679998,correct
w99b2ef5,False,flower,personnel,[741.5849999524653],969.0,flower,flower,2433.3150000311434,correct
w99b2ef5,False,traitor,tractor,[766.5750000160187],1259.0,traitor,traitor,4026.56000002753,correct
w99b2ef5,False,electron,tomato,[1019.5599999278784],1204.0,electron,electron,2419.7399999247864,correct
w99b2ef5,False,suburb,baby,[1610.675000003539],2247.0,suburb,suburb,4106.5899999812245,correct
w99b2ef5,False,idol,finger,[729.5600000070408],1202.0,idol,idol,2109.6050000051036,correct
w7ce13fa,True,suburb,tractor,"[3578.1999999890104, 1357.8550000092946, 509.5500000170432, 4452.079999959096, 3418.485000031069, 344.98499997425824]",14014.0,tractor,tractor,16695.339999976568,correct
w7ce13fa,False,apple,application,[1327.3899999912828],1605.0,apple,apple,2346.594999951776,correct
w7ce13fa,False,idol,pizza,"[1494.1550000221469, 765.9349999739788]",2562.0,pizza,pizza,4309.294999984559,correct
w7ce13fa,False,critic,daisy,"[1129.2450000182725, 997.220000019297]",2429.0,daisy,daisy,3561.985000036657,correct
w7ce13fa,False,keeper,gravel,"[744.6849999832921, 1064.1900000046007]",2660.0,gravel,gravel,4173.8250000053085,correct
w7ce13fa,False,eagle,society,[961.8550000013784],1862.0,eagle,,2741.4500000304542,empty
w7ce13fa,False,penguin,department,[1204.8500000382774],1551.0,penguin,penguin,2842.3550000297837,correct
w7ce13fa,False,vagrant,baby,"[1108.4899999550544, 888.9049999997951]",2389.0,baby,baby,3227.67999995267,correct
w7ce13fa,False,carrot,tart,[1059.415000025183],1465.0,carrot,carrot,3609.3349999864586,correct
w7ce13fa,False,tiger,permit,[908.8699999847449],1102.0,tiger,tiger,2221.414999978151,correct
w480b006,True,cauliflower,transplant,"[1972, 1288, 10829, 1159, 569]",16588.0,cauliflower,cauliflower,17900.0,correct
w480b006,False,roost,eagle,[1179],1689.0,roost,roost,2218.0,correct
w480b006,False,strawberry,ghost,[828],1188.0,strawberry,strawberry,3388.0,correct
w480b006,False,pitchfork,agent,[1267],1718.0,pitchfork,pitchfork,3587.0,correct
w480b006,False,sand,scenery,"[1765, 927]",4552.0,scenery,scenery,5622.0,correct
w480b006,False,electron,elbow,[954],1306.0,electron,electron,2044.0,correct
w480b006,False,permit,saxophone,"[1977, 2898, 1610, 3614]",,,,,timeout
w480b006,False,winner,pig,[998],1327.0,winner,winner,1828.0,correct
w480b006,False,territory,daisy,[1281],1681.0,territory,territory,2681.0,correct
w480b006,False,house,goddess,"[1840, 1040]",3189.0,goddess,goddess,3980.0,correct
