wid,practice,image,kind,rt,response
w2610d96,False,subway/sun_alfhdavatfhkuxyo,new,762.0,new
w2610d96,False,street/sun_aaeryjozzmanouqj,new,678.0,new
w2610d96,False,vineyard/sun_aicvecccjhfzcjnt,new,718.0,new
w2610d96,False,railway/sun_acfjiedtgqzgvtnp,new,1003.0,new
w2610d96,False,roof/sun_awskptrfuzjyjwes,new,750.0,new
w2610d96,False,beach/sun_aabhqzsffoeycgje,new,983.0,new
w2610d96,False,airport/sun_axyoqqhxaeocbixs,new,551.0,new
w2610d96,False,garage/sun_danujvtkymldhxqn,new,611.0,new
w2610d96,False,windmill/sun_arostrfeclmqdszk,new,663.0,new
w2610d96,False,greenhouse/sun_aqkjiolbtywtaxak,new,709.0,new
w2610d96,False,pool/sun_aexdaltifheurhfa,new,807.0,new
w2610d96,False,ziggurat/sun_adajysluigplgxal,new,1100.0,new
w2610d96,False,castle/sun_alevmcaohaqqwlic,new,1073.0,new
w2610d96,False,auditorium/sun_amnlhuknqqtssrhl,new,970.0,new
w2610d96,False,river/sun_atesawsfypjpyefy,new,886.0,new
w2610d96,False,footballfield/sun_afihcbvbdxmnexyh,new,857.0,new
w2610d96,False,tenniscourt/sun_ayyvmiocpgbwlgot,new,827.0,new
w2610d96,False,warehouse/sun_ainoacwsquefrlbr,new,1254.0,new
w2610d96,False,waterfall/sun_acmlcxobalurtcmq,new,971.0,new
w2610d96,False,computerroom/sun_ajcvdokgzllibdsg,new,823.0,new
w2610d96,False,underwater/sun_axbjbqawtejfugwt,new,839.0,new
w2610d96,False,temple/sun_ailcfqxmknysbavu,new,897.0,new
w2610d96,False,musuem/sun_agblrnoilxeknben,new,940.0,new
