wid,Q0,Q1,Q2,Q3
w597c1b5,hard ,hard,no,thank you 
wf4f61d2,"No, they were clear for me",it worked well,"No, everything displayed for me",It is so frustrating that my memory isn't better!
w7586c5b,The instructions were just right. They made sense.,Not at all. ,No,No
w3392c8f,No,No,No,
w02a9152,no,no,"no 
",none
wb4ee3ff,"No, I found them clearer once I got going but they were simple enough to understand",Not at all,No,A practice round on the pairings would have been lovely! I'm surprised I even remembered kitchen door! Thanks to word association I was able to work out Apple Tree when against the clock but that's it!
wb3e28b3,no,no,no,
we18ffd2,It was easy to understand,no,no problems,
w4abf8bd,not at all,not at all,all was well,
w4ab1cb2,nope,nope,nope,nope
w04bf15c,,,,
wd48b361,just right,no,a little bit 'laggy' on a few times trying to enter my answer quickly,
wa03ca57,Instructions were clear,no,no,
w04e3f61,,,,
wc0659c7,They were just right.,No,No,"N/A, was quite fun and I thought I did better than I expected."
wac6b1d6,no everything was clear,no was fine to use,no,none
w1763c96,the instruction were easy to understand,no,no,no
w1f4c963,They were fine,Not at all,No,
wfc5c88d,No,No,No,No
w4643d83,no,no,no,
w8bb6639,,,,
w5b5db7d,No they were easy to understand and straightforward.,No it wasn't.,No I didn't.,N/A
w225e6d1,no,no,no,didnt expect so many items at the start
w2ff1ab6,"no, instructions were clear","no, the interface was easy to use",I did not experience any technical problems,
wad48c82,No,No,No,It was fun to do this.
we708acb,no,no,no,
w32404c9,easy to understand,no,no,no
w50028ee,easy to understand,easy to use,no,no
w8496776,no,no,no,no
w59eafd8,,,,
wa30ed07,No/,No.,No.,No.
wc0c3f44,No,No,No,No
w00ee195,no,no,no,no
wde786fa,,,,
wdd288a5,,,,That was fun.
w407f73c,no,no,no,Goodluck
w2eeca51,no,no,no,no
wf095d81,no,no,no,
w42b9a4b,No,No,No,Thank you
w334379a,no,no,no,no
w8b0305b,no,no,no,"no, thanks"
w5647317,nah,nope,no,nah
w69d0245,No,No,No,No
w3cd0c22,no,no,no,no
w6ac65c4,No ,No,No,
w5af2ea3,No,No,No,No
w57bed1f,No,No,No,
w6e0c43d,no,not at all,no,thanks
we9b9e10,no the instruction were fine,no,no,
w9591dd5,no,no,no,not easy with my keyboard / numbers layout and size
wa90a171,no,no,no,n/a
w77a3bd8,No,No,No,
we15b01d,not really,a little,none,
w96b09fe,,no,,
w2d05535,"In the first round, it was not clear if you should leave the box blank if you couldn't remember",,,
w45429ee,,,,
wf07cb3a,No instructions were fine,"No, very easy to use",Just had to adjust my browser,
w1bbe7ea,No they were quite good.,No,No,It was very difficult but fun.
w784aeb8,fairly easy tounderstand,no,no,interesting survey
w34febff,no,no,no,no
wc3e724c,nothing confusing,no,no,"no further comments, thank you"
wd3de68c,no just right,no,no,enjoyed taking part
w313be28,no not confusing,no difficulties,none,
w9e8833a,no,no,no,no
w1eed4cb,no,no,no,
w78b259e,When you are repeating the same photos,No,No,No Thank you
w4776ed2,EASY TO UNDERSTAND IN ALL AREAS OF THE STUDY,"NO IT WAS EASY TO PUT TEXT IN AND HIT THE ENTER BUTTON
",NO ISSUES,A STUDY I ENJOYED AND LEARNT MY MEMORY ISNT TOO BAD.
wf505bbe,No,No,No,No
w4855f5a,no,no,no,none
w8ab907b,,,,
wc0e4021,,,,
w26616c2,I understood them well.,No.,No.,Enjoyable study. 
wd6b5bd5,The instructions were clear and easy to understand. ,It was easy. ,No. ,
w0f54095,Easy to follow,no,no,
wd8967d6,no,no,no,no
wab06a32,,,,
w6625eae,no,no,no,"i got rubbish memory
"
w7957307,No,No,No,No
w2f07db2,,,,"For the maths problems, it wasn't immediately obvious to me I'd have to press enter. "
wa094301,a little confusing and too long,no,no,no
wb56f1b5,,,,
w95c31d3,,,,
w212f723,no,no,image moved aoout the screen a bit. might have been me,no
w6f9c845,no,no,no,"enjoyable, frustrating and challenging at the same time"
w3a656c1,no,no,no,no
w60e7c15,The instructions were quite clear.,"No, not at all.",None at all.,
w1471249,no they were fine,no,no,
w2e2c948,,,,
w35e25b3,The instructions were clear and easy to understand,my new keyboard was difficult not the interface,none,
w66d649f,no,no,no,
wc42426c,fine,no,no,none :)
w4167216,No ,No ,No ,None
wb5c2ed2,,,,
we5f22f6,no,no,no,
w95a9cba,too long,no,no,no
w86dc58a,No,no,No,No
w32b751b,,,,
wbf5e9fc,everything was easy to understand,"no, easy to use",no,n/a
w1b481c7,no,no,no,na
w0758f6b,No,no,no,no
wa995860,No,No,No,Thank you.
w0320786,No,No,No,My memory is not good to remember so many words.
w2fab81a,No problem with them,no,no,
wcdb3dd3,I thought they were Ok,no,no,
w1d2b4e3,No,No,No,-
w0cbe415,Instructions at the beginning of the text were not clear,NO,No,
wcb06a9e,Too long,Fine,Fine,Too long
we6bd38d,no,no,no,
w2df9812,it was easy to understand,no,no,
wdf7a03b,They were fine,No - easy,no,"I think sometime I put plurals in eg AppleS instead of apple, and peanuts instead of peanut"
w9c2897a,,,,This was fun and I found it simple to understand and function. I'm just frustrated I couldn't remember more of the words
w1a4c211,A lot of photos,No,No,No
w5158b6a,no,no,no,no
w89083c2,"Not at all, they were clear",No,My keyboard was a bit faulty at times and i made a few mistakes in spelling because of this,
wf3610cc,,,,
w263ce20,no,somewhat. see next answer:,yes. when I was trying to choose the number to inform on how confident I was it kept opening the 'find' shortcut in my browser so my choice wasn't being recognised.,no
w74273df,"A little involved, but the comprehension questions helped me. ",no,no,quite enjoyable!
w4f81b9d,no not bad atall,nope very simple,no,difficult
we42c748,no,no,no,no
w910bab1,NO,NO,NO,NO
w90a5b41,no they were good,no,no,
wf4bbebc,,no,no,
wf80ef1d,sometimes a little confusing,,,
w65718a6,They were pretty clear.,no,no,
w95f9208,no,no,no,i almost convinced myself i would not do very well as the picture/word pairs progressed particularly as theyonly appeared for a few seconds
w12a0963,,,,Easy to understand
w13260c1,,,,
wc21ed67,No,No,No,
wf015e1e,No - it seemed quite straightforward.,No,No,
wb3a6918,no,no,no,no
w785949b,No,no,no,
w25ce221,i would have liked to have seen the pictures twice for ressaurance,no,no,i was conflicted between words for a couple of items so would have liked to have seen them twice
wc166071,"no, very clear",no. ,no,thank you
wbc6d47b,Slightly confusing.,No,No,I don't know why I couldn't remember anything! Maybe the maths questions deleted my short term memory?
w6f7bca7,I found it was too hard to remember any of the actual pairs,No,No,No
w74b2dfc,instructions made sense but there is alot to think about in the second part where you have to rate your confidence,no,no,
w6ae70d8,no,no,no,no
wb630500,no they were fine,no,no,enjoyed it thanks
w5d2c7ee,,,,
wd22582e,No,A LITTLE,NO,First section was way too long.
w8d38565,no,no,no,It was a fun study
w61f8210,no,no,no,
wed2a724,"No, they were easy to follow and I felt the right length.",No,No,This was fun and super challenging! Thanks :)
w67ef00e,No they were very clear,Not at all,No problems,I enjoyed it - very different
wfbac725,easy to understand,no,no,
w3633ccb,The instructions are clear for me,The interface was fine,No,
wef44c0d,no,no,no,no
w701d0c3,no,no,no,
wb3e5249,The instructions wereclear and easy,no,no,no
wfa2f7e8,"No, the instructions were good and necessarily long.",No all good once I got used to waiting for the prompt to press space.,"no, all good.",I tried really hard to memorise those image/word pairings but found sometimes I couldn't put a name to the picture and then lost track of the word given too!  Tricky :0)
w33e8900,ALL CLEAR ,NO,NO,THANKS
waef429c,,,,
w343694b,,,,
w85aaadf,yes,,yes,"didn't remember any words, and only some images, sometimes repeated several times"
wca3d944,A little long winded,no,"no
",none
w5fdf21e,no,no,no,hard
w1c91e6f,"No, all clear",No,No,I was very distracted by something else happening in the same room
w0ed29e6,"The initial section about having to increase my screen width and height was a bit of a struggle, as my browser window was already fullscreen (I had to hide my bookmarks bar). I also don't understand why I was asked to expand it, given that the actual study didn't take up my whole screen.","No, all good.","No, all good.",
w202f6c3,quite easy to understand,"sometimes it took a while for the ""press spacebar"" screen to come up",no,na
w625937a,"no
",no,no,"Interesting study, thank you"
w843df9a,"No, they were easy to understand.","No, it was easy. ","No, everything work fine. ",
w1a46703,No,No,No,What were the answers to the ones I couldn't remember?
w92c2cc9,no,no,none,no
w426e789,"No, I found the instructions easy to follow and informative.","No, the interface worked perfectly well on my PC.",None.,None.
w24d0aa4,,yes,yes,
w4be4be0,no just right,no simple and easy,no,
w2783dcb,,,,
w96948a2,confusing,no,no,
w91caa52,No,No,No,No comment.
w92000a3,no,no,no,i could not remember what word went with what picture 
wd5ab59d,"needed to read them a few times to ensure i understood, the formatting / layout could be easier to read",no,no,"extremely challenging, i didn't feel i had sufficient time to take in the images and words and really remember too many of them"
wc6ea3c3,Easy,No,No,No
wf81a268,not at all,no,no,"not an easy study, wish i written something down!"
w607df01,Not at all,No,No,
w3b7e8e6,"No, they were easy enough to follow and the practice helped further or cleared anything that was a bit hard to understand.",no.,no.,I started doubting my mind and then went blank and could only remember a few of the words I saw.
wa8f1763,,,,
w7bca5f2,a little hard,no,i did not,no
w4b902aa,no they were ok,no,no,no
wee6660f,no,no,no,too many pictures
w954fcd8,,,,
w970fd14,"No, it was clear and straightforward","No, it was easy",No,My memory is usually pretty bad!
weae0c66,No,No,No,It was engaging.
w9a5f0fe,no,no,no,i learnt my memory is not good
w134a209,instructions were pretty easy except one confusing bit,very easy,no,"i think i do use wrong word forms ""egg"" or ""eggs"" which can lead to lowering results"
wb9c7d4b,no everything was clear,no,none,
w2808c40,no,no,no,no
w183bd54,,,,
wed8ed7f,,,,
wac66e7e,no ,no,no,really enjoyable thank you 
w06b6acf,No,No,No,
we027160,They were fine,No,No,No
wc082675,no,no,no,
w817aa2f,The instructions were clear and precise.,"No, the interface was very accessible.",No.,This was an interesting study that proved to me that my memory isn't as good as I though it was!
w70f7a98,,,,
w21c8fc0,They were a bit long,no,no,no
w975e399,no,no,no,no
w1467e86,No not hard,no,No,
w56270fa,No,No,No,N/A
wc0ee379,No,No,No,No
wf5639d7,No,No,No,Would have been nice to see the words with the pictures twice
w0279093,they were fine,no,no,"I found it very hard to memorise the pairings because the images were displayed so briefly i.e. I was still thinking about pairings when the next image appeared, so things got a bit jumbled in my mind"
w5dcb68e,"no, all was good",no,no,I am hopeless
wf1e9196,No,No,No,N/A
w72531f7,no,no,none,n/a
wd39adf0,it was clear enough,no,no,no
w4020088,They were fine,No,No,Disappointed I didn't do better!
w643baa4,,,,
we790ed8,fairly confusing all round!,"not particularly - except my typing speed is slow, so a disadvantage to me.",no problems here.,"The linked pictures had no affinity with each other. The time given to try and remember the linked pictures was ludicrously too short - only a few seconds, which is not sufficient. Plus: there were too many pictures to memorize even for short term memory recall. The study was very disheartening."
w25bf3d6,,,,
wc32ec2b,no,no,no,quite hard to remember the word with the image
wcd75fcc,not confusing,no,no,I could not seem to remember much at all. I was trying to come up with storied to match the words to remember but it failed.
w36756f7,No. The instructions were just right and the practice helped,Not difficult,No,
w2c7cb01,no,no,no,
w71f1638,no,no,no,none
wefb9d2e,"NO, they were just fine. ",It was easy to use.,No.,I feel tired after seeing so many images so rapidly.
w4e9cdda,,,,
w83a89a0,no,no,no,
wc684add,a bit confusing ,no,no,
w8bbe237,"I wasn't certain that I needed to remember the word with the picture to begin with, but I may have missed it somehow",No,No,Good luck!
w894c439,The instructions were fairly easy to understand.,"No, the interface was easy to use.",No technical problems.,"In the initial sequence of images paired with words, I felt like I committed the earlier word pairings to memory, but as more came along I felt it was too many and the later ones would not imprint upon me, almost like my brain's hard drive was full."
wd7386c0,No,no,no,no
w57abde4,no,no,no,
w05e98e6,The instructions were clear,"No, it was good",No,Really good survey. I enjoyed it. Thank you.
wff9ac29,no,no,no,
w0d1905c,A little confusing. ,No,,Study was highly irritating. 
wb2e33dd,,,,
w236731d,no,no,no,none
wa3da867,The instructions were jucst right,Interface was very easy to use,No technical problems,Thank you
wf2e263d,remembering all the words with the pictures was long and hard ,no ,no,to many pictures to remember with the words 
web399b9,"they were actually pretty good, images would have helped",no,no,
w2701f7f,all good,no,no,that was fun
w50c606d,no,no,no,no
w2b5a0b8,no they were not.,no it wasnt.,no,
wda11439,all was good ,no,no,thanks 
w17c9cfb,They were pretty straight forward instructions and easy to understand.,"No, the interface was easy to use.",Nope.,
w00221cd,no it was all clear,no,none,
w3f3bba6,no - maybe just a little hard to read as a lot of text all bunched up at beginning.,"no - great, very easy. Math questions very exceptionally quick though!",no,"great, really interesting and found when I gave the word/image a story to connect them I was able to recall it much easier than those I tried to remember in a blind panic! Great fun, thanks "
w40405fb,"No, just needed to read a couple of times",No,Had to zoom out on screen size to fit screen,
w7359c24,,,,
w1c5eba5,No,No,No,No
wb9fb9c6,No they were easy to follow.,No.,No.,
wbf4cfdf,"not really, it was hard to keep track of the pictures though.",no,none,
wc375481,hard to understand at times,no,no,
w91112d4,No they were very clear,Not it was easy to use ,No,
wdc9062e,Instructions were easy to understand and follow,No,No,No
w080cebe,No,No,No,
wcd66c47,No,No,No,N/A
w67aa065,,,,
wba0287c,No,No,No,
wbb61d38,"I have bad working/executive memory so I was fairly sure that however carefully I read the instructions, I would forget them. They were quite helpful but I could not risk taking too long by reading them again and again - I would still forget them. It took me most of the study to remember that I needed to press space even though this was on the screen...",no,no,I was expecting to hate this but it was quite enjoyable. I hope it was useful.
w774874e,No,No,No,
w464b4d9,No,No,No,Really enjoyable
w006b62d,Instructions were clear and easy to follow.,Interface was very easy to use.,Everything worked great.,
w94f4092,They were clear,it was very easy,no,
wca7e51a,no,no,no,
wbcfcaf0,no,no,no,
w892dcf3,no,a little bit,no,
w4786520,I wasnt sure about which things I was pairing to start with eg the first two words that came up in boxes or the word in the box with the image in the box,no,no,Goodness that was so hard to remember an image with a different word on top!
w1efc184,Nope!,Nope!,Nope!,Nope!
w563de61,no,no,no,This was fun!
wac50a3b,no it was very straigforward,Not at all,All good,A very fun study!
w983f085,No,No,No,
we992837,They were easy to understand.,It was easy to use and understand.,n/a,
wed8c535,the instructions were easy,no not at all,no,
w25238fb,easy to follow,no,no,mentaly challenging
w676e8fc,The instructions were easy to understand,No,No,
w36ada23,They were fine,,,
w166e106,no,no,no,no
w03a3dc2,no,no,no,
wcee76b9,,,,"I may just be getting old and senile but I don't recall all the photos, like the car in the underground garage and a white curved piece of architecture/sculpture."
wa50b2f1,No,No,No,None
w746f912,no i could understand them easily and i like the practices ,no,no,no
w39d119f,No,No,No,That was fun!
w5c983f2,they were perfect,no!,none at all,"had fun and was pleasantly surprised that my memory was not as bad as i thought haha!!!
"
wd33106f,No,No,None,N/A
w5cddd29,they were easy to understand,"No, it was easy to use",none experienced,it was interesting and frustrating. not being able to remember!
we4891b5,,,,
wc41fd0a,Had no idea what I was supposed to do,No,no,
w3cdcdd9,They were easy to understand,Not at all,No,Great study :)
we26e046,no,no,no,no
wae612f6,"no, it was easy to understand.",no,no,"no, though it would have been nice to see the pictures and words more than once"
wb3c748a,"no, i understood the instructions ",It worked with no issues. ,No technical problems.,N/A
wfeaaf8f,No they were fine,It was great,No,"When I seen the pictures and words, I said out aloud the word first and then the picture I seen. Second part I could remember none of it"
w6b6a8e8,No,No,No,No
w78d938a,"yes, I misunderstood, thought I had to memorise words in pairs, so memorising every two words ",no,no,
wa78fb46,"50 50, had to read twice to get it",no not at all,nope,all ok
wdf8640a,,,,
w4961bfd,"no, they were easy to understand",easy to use,no,
wca34c4d,"Easy to understand, perfect in length","No, it was easy to use.","I had to disable ad blocking extensions (firefox - ublock origin, privacy badger and localcdn) to progress past the loading screen.",
w75da896,no,no,no,no
w611690e,Instructions were fine,It was easy to make a mistake on last task with sequencing of actions,no,"Interesting, I have very poor memory"
w68b51a9,too long,no,no,
we5da3bb,No,No,No,No
wa571b2f,No,only due to my slow typing,No,"Selected ""quick enter"" rather than typing on the last exercise."
w9d5f1c6,no,no,no,
wc8271d0,"no, it was easy to understand just hard to remember",no it wasnt ,no,
w6de5e63,No,No,No,No
w34dfc1b,no they were not,"no, easy to use",i did not,fun study
w0b7b597,,,,
w2af193b,No the instructions were easy to follow.,"no, it was easy to follow",no,It would be nice to see the words and pictures together again.
w5b1df5d,No,No,No,I thought my memory was better than it is!
we74a483,No - instructions were fine,No - fine.,No - all good.,"Impossible to remember any of those words though, maybe 1 or 2"
w174825a,no,no,no,n/a
wf79eefc,The instructions were easy to understand.,No,No,My memory was awful on this study.
w2ca546a,No,No,Nothing,
w18b0ba9,No,No,No,
wed06516,No okay to understand.,No all okay.,All fine.,Good luck
wf8574cc,OK but my responses slow,no,no,old age is showing for my memory
