wid,Q0,Q1,Q2,Q3
w155e994,The instructions were fine.,"Yeah the last test is a true pain, you using letter rather that the arrow keys to choose then typing, the having to remember the letters again.",None.,"Honestly a frustrating task, need longer to learn to the images and words."
wf987c34,There was a little confusion as the words did not correlate with the images and you had to remember a lot of words and images all at the same time so it was very hard to do this study.,No this was very easy to use.,No technical difficulties.,"A really enjoyable study and if there was more time, I am sure I could have done better."
wdb597f4,No. They were clear,No it was easy,No,It was fun!
w7726699,,,Yes In the last section the text boxes were not displayed so I was not able to type my responses,
wb077690,just right,no,no,
w6d69999,"no, but the task itself was difficult with so many images and words",no,no,see above
wf98444c,no,no,no,no
w770f0ee,no,the switching game was tricky,the switching between the two images was hard at first,no
w3725d8f,fairly straigh forward,no,no,no
we04eeef,"No, instructions were clear.","The last test where you press J then K, quickly decide if you wany to press D or F then type in the answer hoping that you spell it correctly - ludicrous!","No, technical problems.",Absolutely hated the repetitive typing.
w741f2e4,"no, they were fine.",no,no,
w0174288,A little too fast unless you have a photographic memory,Interface was ok to use,No images appeared in the last section,Thank you
we35e251,No they were easy to understand,No,No ,Nothing to add
w7e6fbb9,no i was able to get the hang of it quickly.,I found it easy.,"It was working fine up until the last section, the images weren't displaying.",
w6830370,the instructions were clear and easy to understand. ,no,no, 
w4513df2,all good,"no, was ok",nothing,all good
wd946f5b,I found the final set of instructions quiet difficult to remember.  It would have been useful to have them on the screen as I know I messed up on the first few as I couldn't remember which letters to press. ,No.,No.,No
waac13ae,"no, they were very easy to understand. ",no,no,
w787f1eb,No,No,No,
wfcf95af,No,No,Very few images on the final part of the study,
wab13156,No but I found it difficult to remember the pairs.,,,
w376fb34,no,"the key pressing was confusing, i mixed them d,f and j.k up sometimes",no,
w1625795,No,no,images didn't appear last round so couldn't do that bit,
w5edd323,Instructions were easy to understand and it took no time to learn it.,Interface was easy.,I had no technical problems.,
w4bab617,No,No,No,No comment
waaae5e8,No,No ,No ,No 
w9032960,The task at the end was confusing and I sometimes selected the wrong picture to guess!,I occasionally pressed the wrong button on the final task - choosing to guess a picture I hadn't seen.,,
w7dcdf0b,no they were clear,no,no,I found this so hard as I thought you might show the word and put that to a picture
w2c90d81,"No,it was very easy to understand",No not at all,no,
w7898860,VERY CONFUSING,NO,NO,NO
w62ba4b7,No I could understand fine,"No, not at all",No all worked fine,"At first I found it nearly impossible, but definitely easier the second and third time."
w004b79d,Is was somewhat hard for me.,Nothing at all.,No.,Thanks for giving me opportunity in this study.
wd31c1cf,too long,no,no,none
w0b5c8e5,The JK and DF buttons were initially confusing in the third round but I got used to it quickly.,"No, it was easy to use.",No.,No.
wce0aeed,the instructions were easy to follow,no,no,no
w46f039c,no they were quite straightforward,"a little, the last task was a little tricky switching between J,K and D,F
",no,"not really, it was quite fun"
wa68b025,the instructions for the last task were slightly confusing,no,no,
w6468a27,Average,No,No,"I spelled 'sphinx' 'sphynx' and therefore got it wrong! Same thing with 'docks' instead of 'dock', I think!"
w9e3eee4,no,no,no,
w50d8ecf,,,,
w59e5b66,,,,
wd33cbb2,no,no,no,no
wbd946a2,I found the instructions al little bit unclear.,It was okay to use.,On the last task I found the switch using J and K froze and did not show any image.,I found this difficult especially with the time constraints.
wc8c095e,Too long,no easy,No,Nice one!
we01f80b,,,,
wc0c18a9,No they were fine,"No, just remebering keys on the last one - I got mixed up",no,no
wf82ecf7,"No, they were clear",no,no,no
wd68c206,not confusing at all,very easy to use,no issues,
wba916f9,No. The instructions were fine.,No. (apart from the last round),"Yes. The last round didn't work for me. I could choose between the images, but there was no text box displayed, so I couldn't input any answers. I just had to wait to be timed out on each one.",
w18eff15,Not at all,No,No,Fun experiment!
w0406512,"No, I found this really easy to follow and very fun",No,No,"I really enjoyed this, thank you"
wcbd3225,Instructions were not clear.,Yes especially the last part.  Remembering four functions quickly was difficult.,Noe,Very very very difficult!
w7fe2e99,No,"Only on the last test, but after a few pictures I think I got the hang of it",No,n/a
w21485f9,no,no,no,
w02be62d,they were fine,No,No,No
wbbdb050,No I followed everything fine,no,no,no
w3fdd684,"no, the instructions were OK",no,no,
wed3ee15,,,,
wac4f7d5,Fine - the training rounds were useful,No,No,That was fun!
w26fb760,"No the instructions were clear, the tasks were quite hard to perform.",Easy to use interface.,Nope.,Thank you.
w3a8da2f,,,,
wee0bc7e,"no, clear instructions",no,none,My memory is appalling!!
w142135d,no,no,no,no
wb04366d,NO, NO,NO,NO
w493c9e8,No,No,No,No
w4663c6c,no,no,no,
w8eb5d66,no they were just right,no was simple,no,
w214b628,,,,
wa114312,A little confusing,No,No,No
wd5eafa9,no,no,no,no
w4ea9298,it was very difficult,,,
w2792137,No they were clear,no it was fine,no it went well,it was interesting how much more confident i felt at the end 
w4479de7,They were really clear and easy to understand,"It worked perfectly for me, really easy to use.",No,No
wdeb5716,easy to understand,no,no,
w98e1a8c,Too many letters to remember in the last bit.,,,
wa76d46c,no,no,no,
w7a448e8,No,No,No,No
wd47d3f8,no - i found it really easy to understand and follow,no,no,no
wed8076d,no,no,no,no
we7a963d,no,no,no,it is difficult to spell some words
wb808432,no,a little for the last task,no,no
wa24de36,Nope.,No,No,Maybe warn people that there's going to be a lot of images. I got freaked out by how many there were halfway through and started to panic rather than memorise the words & pictures!
w2360694,,,,
w41c0044,"No, it all made sense","The final task was a little fiddly, but got used to it very quickly",None,
w464a603,easy instructions,not at all,no problems,
w010900d,,,,
w045d614,no,no,no,Good luck with your research.
w21a4fa5,,,,
w5f7d673,they were easy to understand,no,no,
w3f005ef,easy,"the last ones , it took a moment to get my head around the different keys",no,fun
wcf05af0,Instructions were fine,No,Everything worked well,Thanks!
wa529cae,Instructions were clea,The last task was a bit fiddly having to input various letters first before writing the word,No,I thought this was a very challenging task
w94ea508,No,No,No,No
w5dd97f6,No they were fine,no,no,
w60791ad,,,,
wbe6550f,very east to follow hard a little but simple,not all very good,nope study was one of the best I had today,What a great study Thank you
w70798f1,Not really.,No,None,No
wa98c233,no,no,no,"The images and words weren't displayed long enough to memorize, or to use a word association technique. Good task, but too hard, so didn't do any good!"
wf1ece3b,,"On the last section choosing between the two images, I found the choice of keys a bit confusing at times",,
w7324a3b,They were just right,No,No,No
wd7a7d57,no,no,no,
w217e974,the final instructions on the last part of the experiment weren't clear,no,in the last part as the instructions weren't clear,the final instructions on the last part of the experiment weren't clear
w4a0e4d3,no,no,no,n/a
w912170d,No,No,No,No comments. Thanks.
wff0d669,the keyboard ones took a bit of getting used to. I clicked the wrong thing a couple of times by accident ,,,
waa57b66,no but it would of been nice to have a reminder for the keys,no,no,
w5f73151,"No, they were clear",Not at all,No,
w28aec8e,no,no,no,none
w88c93aa,no,no,no,no
wfcb5827,No,No,No,No
wabed52d,easy to understand ,no,no,
w0bbeb3f,No,No,No,there were too many pictures/words to remember
wbbaa9a3,yes,yes,no,too difficult to do
w108b4b5,Okay but tasks were too hard. ,No,no,Too difficult to remember the pictures and words. I would need a photographic memory.
w2a53159,Instructions were great!,Not at all,No,A couple of times I pressed  one of the select buttons before I even viewed any of the images! It would have been nice if there was some way of stopping you selecting an image when you haven't displayed them yet.  Thanks!
wb79f1b0,the instructions were fine,no,yes on the last test the images did not show and i used complete guess work,none
w77bd40b,A little confusing.,no,none,no
wc747dd8,not hard to understand or too long,no not difficult at all,no technical difficulties,no
wcb7a84a,the instructions were fine,Easy,No problems,
w71d025a,Instructions were ok,Easy,None,This was much harder than i expected
we1059f7,,,,
wb49e039,too long,a bit,no,
wcfad1d0,,,,
w8b79e9c,Last set required a lot of dexterity but i assume this was deliberate,No,No,
web2913c,no,no,no,
wbd5b785,no,no,no,"was fun, thanks :)"
wc4d198a,"They were a little hard to understand, especially the last task",no,in the last task the pictures did not display,thanks
w0f1f3f2,no,no,none,"i have a terrible memory sorry for being so rubbish, these tasks are rubbish for me"
w7cb8cd2,For the last test the instructions could have been simplified by using the same keys to select which side to pick.,"No, it was not. ","No, I did not. ",N/A
w57f5102,the instructions for the final section were hard to understand but the practice round made it much easier,the interface was fine but I did struggle at the start with remember which key to use in the final part,n/a,"it was a fun exercise, definitely tested my memory. and enjoyed the words I resonated with most. "
w63f2af5,no,no,no,
w42584ef,,,,difficult but fab fun! 
wd550fd5,No. The instruction were clear.,"The last task of choosing between two different images took a little getting used to because of needing to remember 2 sets of two keys along with the typing, hitting space and enter, but I eventually got the hang of it.",None.,None.
wad0a068,No,No,There were several technical issues in the final round the text box did not appear 80% of the time and when it did it appeared quickly and told me I had the wrong answer.,No
w7c136e4,no,no,no,
w21a9b5a,no,no,no,
w6804a7b,Obviously wrong as didn't get a single one right on last test even though I got 77/80 on the second test.,No,"The second experiment didn't work at all - the correct word always displayed ""incorrect"". So I must have misunderstood",
w582ab22,No,No,No,Thank you for inviting me and best wishes with your studies. John.
w00dfc74,no,no,no,no
wf9d402c,"The final part, the instructions were very confusing. I got the hang of it, but only at the end. Needed a comprehension check/more practice",no,no,no
wac06e46,no,no,no,no
wd6b3802,Not confusing,no,no,I remebered pictures much more easily than the associated words.
wbef7533,no,no,no,n/a
we266a43,they were just fine,no,no,"I'm sure I got the racoon one right, but it said I got it wrong. Are you using non English UK spelling? I don't think my results should be penalised for eg not using US English spelling!"
w9271afe,None of those: instructions were clear,No,No,The number of images made the challenge very hard
wa65fe74,The second lot were difficult to understand,no,no,no
wa3168ec,I didn't really understand the instructions for the last section.,,,I probably didn't do very well as I was tired when I took the study (tired from doing exercise earlier this afternoon).
w6f7533c,no,no,no,
w2ecf545,confusing,No,No,No
w46338c4,all good ,no,no,this was very hard for me 
w4d23025,no,no,no,good 
w4d59ee3,clear,not at all,no,no
wed13544,"No, they made sense to me",Only remembering which keys (df jk) after moving fingers to type words,no,I have nothing further to add
wd9ab7c8,no,no,no,
w208d4dd,no,no,no,a fun survey
w181756e,The last set of instructions were difficult to understand. ,no,no,
w2266044,not too bad,not really,no,no
we52ace2,,,,
w797f702,No.,No.,No.,"None, other than it was fun! :)"
w79e2cc5,easy to understand,no,np,A really difficult task but fun
webfc872,It was a long excercise,no,,
w6012883,itr was easy to undestand,no it was ok to use,no,It was pretty hard
w46cab05,no,no,no,thank you 
w88a4e22,No,No,No,
wa0f3913,FIne,Fine,None,
w9ad0390,No,"No, though I made a couple of errors I think by touching the keyboard and couldn't reselect on the last one so I had to guess once or twice",As mentioned above- mild issue on the last section once or twice,On the last section I had remembered all but a couple of images:names (neither of which came up) so I quickly realised only selecting K and then F would serve me best- I don't know whether that was intended or not
w8132520,no,no,no,no
w053a3a8,"No they were fine, very clear.",No.,None.,"Was fun, thanks!"
w8ddd161,"Yes, they were confusing to me.",Slightly.,"Yes, glitchy.",
w7433490,fine,no,no,no
w3b2a874,The instructions were spot on.,Not at all.,No technical problems.,Good luck with your research!
w6d04498,No,No,No,N/A
we392e75,Needed attention but okay.,The keys were okay once explained.,No it was fine on Ubuntu Linux 22.04LTS / Brave browser.,I felt rushed by the arithmetic tests.
w13bccba,fine,no,no,no
w4390307,no,no,no,no
w0053e16,third part a little confusing,easy,,"enjoyable, thank you! "
w9f8a2f6,None,None,None,None
w461743a,the 3rd part was slightly confusing,no,no,na
w44f863e,Everything was clear,easy to use,no technical problems ,The study was interesting
wb62f1c9,No,It was hard on the last task to put my fingers back onto the J/K and D/F keys because I had to move them to type the word.,No,
w9098045,,,,
w48628a4,,"The last part was a little troublesome. I think personally, it would've been easier to show the left or right image by pressing the corresponding arrow keys and maybe choosing which image to answer with the 1 or 2 keys. I think at one point I selected the wrong image to answer, because when I returned my hand the starting position, I shifted over a key. Not too big a deal, just a little clunky for my taste.",,
w8ba3c20,no,no,no,no
w8d4ef02,,,,
w719a395,,,,
wf3cb585,No,No,None,This study was fun and a good memory challenge (I had good success by combining the image and the word into one image in my mind). 
wedd174a,,,,
w9ea5144,no,not at all,no,
w451f3ca,no,no,no,n/a
wde68a9c,All clear,No,No,This was difficult
w7844287,No,In the last round it was but difficult. I lost couple of cents by pressing the wrong key.,No,No
wf00b295,ok,no,no,totally lost interest at the end.
w0afae36,The instructions were clear.,It was easy to use.,No,No
w0cd363b,no,no,no,
w8ead075,It wasn't clear on the third round when we went from practice to actual round so I thought I had to show each image twice for the whole round which slowed me down.,,,
w82369e0,Easy to understand,No,No,
w387dcdf,"No, They was not confusing, too long, or hard to understand.","No, The interface was not difficult to use.","No, I did not experience any technical issues.",
w5f17059,"no, very straightforward",no,no,
w5b6a9c8,no,no,no,no
w5ffa96f,"A little bit, but the practice helps things",Not too bad,None,I was suprised how many I remembered!
wa099a84,"I think I did not read the instructions for the last part well enough- I wasn't sure whether I should display both pictures, and then decide which to name, or whether |I should proceed to naming as soon as I had seen a picture that I was able to name. Apologies!",No,No,
wf57408a,no,no,no,no
wc43017b,"No, the instructions were not too confusing.  The hardest was the last instruction about the 2 pictures. You might include an additional training example before going right into it.  ",The interface was easy to use.  It became possible to be faster after using it a bit.,There no technical problems.  All worked well.,I've not done a study quite like this.
w27a641e,no,no,no,no
w322d627,,,,
w7be8fc6,the instruction were clear.,not much,no,
waba6e52,No,No,No,N/A
w62c3f57,,,,
w8ed13d2,"no, everything was clear",no,none,
we8d04ad,"No, they were straight foward",No,No,I found it very difficult to remember any of them.
w8e86f51,No,No,No,None
w87cd343,no,no,no,It might be worth making clear whether spelling has to be correct and also whether plurals or singular words need to be correct ie for rag then rags will be wrong
wc5a102f,"no, easy to understand - short and to the point",not at all,no,none
w3d06205,,,,
w152dffc,,,,
w8cfe568,not at all,no,no,No comments!
w243f820,no,no,no,no
w545552c,no,no,no,"i found this very hard, possibley my age."
wa9afa61,"Only issue I had was the last test, trying to remember the d and f alongside the j and the k",no,no,"good fun, thank you!"
w2df24ee,No,No,no,None
w3322c20,,,,
w3ae8273,n/a,n/a,no technical problems,thank you
we88044b,No,No,No,"I mistyped one word ""treasure"", but I did remember it."
we7a593c,,,,"very difficult for me, I have bad memory so couldnt remember this pictures "
w3c7637a,No they were fine,Easy to use,Nothing,
wc7d2640,,,,
wd7e043a,"no, took alot longer than thought but was harder than I thought it would be. ",the final task didnt load the photos most of the time.,images didnt display in the final test,
w2f2e333,far too many word and pictures to remember!,the last part of the quiz using the df and jk was really confusing for the first question until I got the hang of it.,no,
wf3f9bee,"no, just right","no, very easy",no,enjoyed the game.  First round was hard but much easier on 2nd and subsequent turns
w535bfaf,All nice and easy.,No problems,No techincal issues.,"Thank you for inviting me to take your study, much appreciated."
w2d21eb2,No.,No.,No.,N/A.
wa677380,hard to understand,,,survey really tests my patience.
w1ebd279,All easy except the final exercise - it took me a few attempts before I figured out to press J or K first before I could see the image.,Easy,No,Fun exercise!
wb2f7ec5,Slightly confusing but the practice rounds helped,No,No,Very enjoyable!
w75a2d90,Easy ,Easy,No,
wc0a7bee,No they were clear to understand ,no it was simple to use ,"none at all, everything went smoothly",hard to remember the words associated with so many pictures!
wb01d0d7,too long,no,no,none
w314f8de,long,no,no,no
w04760a2,,,,"In the last part, I couldn't remember how to select the right hand image for the answer."
w4e519a5,Instructions were fine in all respects,Not at all.,No problems.,
w9bafc64,Ye. On the third section. The dialogue box only opened a few times. I was unable to type a response so I was timed out. ,yes,dialogue box on the third section,
wfc12163,fine,no,no,hard to remember so many
w818e607,No - quite easy,No - just a little unusual,No,
wc78e4c5,hard to figure out yes,yes kinda ,no,no
wd73c799,"No, they were easy to understand and carry out.",no,no,
w27dc640,no,final one was not very user friendly,no,
wb9162a9,The instructions were easy to understand.,The interface was easy to use.,No technical problems.,
wf7f273c,No,No,No,No
wbe09e33,yes,no,no,"very hard, my memory is awful"
w6f08641,"No, it was perfect",No,No,"This was interesting, thank you!"
we486015,it was long,no,no,n/a
w336dcf9,too long,no,no,no comments
wbc68418,,,,
w8072003,No,No,No,
w9a1623a,A bit long.,No.,No.,No.
w4726e4b,I thought they were simple to understand,No,No,
w4a43f99,No,No,No,Nope!
w2709b5e,No they were fine.,"The last part as one had to use various keys, type, and deal with a timer.",None,No
wd64f2d9,,,,
w672451b,"No, everything was as described.","No, everything was quite easy.","No, it all worked perfectly.","I enjoyed this experiment.  Realizing again what I already knew, that people are able to remember things better through quick associations they make in their mind.  It's definitely something I should practice more.  Good study.  Thank you."
weebf6ce,,,,
wb4c0964,No,No,No,Only one on the last task I accidentally clicked F before I had looked at the images. I then couldn't look at them because one was already selected to answer
we806f3c,,,,
wae74668,okay,no,no,none
w6fe4a79,no,no,no,no
wc035cf8,No,No,No,Interesting thank you
wf81039f,No,no,no,interesting study!
w938104c,Challenging but understandable.,Not severely.,No,Very challenging task.
w542e4ab,,,,
w507ebd9,,,,
w01bdfac,The instructions were clear and easy,No,No,Nil
w81ee493,no,no,no,
wa2580a2,,,no,
wb113b87,No,No,"Yes, the last test no images were displayed",My memory isn't very good it seems!
wbd8215b,no,the buttons d/f j/k i kept mixing up meaning id sometimes be unable to see the images to answer,,
w80cc6af,hard but i managed it,no,no,no
w1f243d3,they were easy to understand.,no,no,no
w9d2cf64,The last part was slightly confusing but overall it was alright,Nope,Nope,Nope
w46fd6e0,"No, but the task was harder than expected!","No, quite easy with a bit of practice",No,That was fun - I was surprised how many more I remembered the second time!
wbcf7c52,no,no,no,Thank you!!
w28d7968,,,,
w4a6d659,no,not at all,none,this was fun
w026dad7,Actually they were fantastic.,Not at all.,Nope,"The very best of wishes for your research, sorry for my poor spelling."
wd5e6ba2,No,No,"Yes, no boxes to type into on the final set of pictures. I would not have got many anyway.","My memory is obviously very bad, but I did try."
wc35c253,nope,nope,nope,
w221fb96,"No, they were fine",No,No,No
w3048fe9,,"In the practice for the final test, I accidentally started the counter so I didn't read the instructions properly. Then the textbox wouldn't appear most of the time for that and the actual test. I got it to appear a few times by basically bashing the keyboard. Both pictures would disappear which I don't know was supposed to happen.",,
wb0f8011,instructions were fine,no,no,
wfe681cc,hard to understand on last exercise,only last exercise,yes the last exercise had no photos ,
w0d41fd1,,,,
wad62884,easy to understand,"the last task was quite hard in terms of keyboard use and speed, I made an error selecting a box to answer before revealing a picture!",No,That was fun!
w4e80fa0,The instructions were easy to understand,I found the interface easy to use,The images displayed well up until the final experiment when the images did not load so I had to guess to move the experiment forward meaning all my answers were incorrect.,
w2acb4f1,No,No,No,
we9c6ca2,"not confusing, not too long",easy,no,no comments
wc7442a2,no ,no ,no ,was great thank you 
w503d42c,no,no,no,
w9313b2e,I JUST HAVE A TERRIBLE MEMORY,NO,NO,SORRY IM SO BAD AT THIS STUFF
wa07f99e,No the instructions were easy to understand and were easy to follow,no the interface was fine and very responsive,there were no technical issues,"I have recently been ready a book on memory training techniques, this was a fun way for me to test my skills. Thank you for the opportunity"
w946fca8,"No, I understood except I was sometimes confused as to when they were practise ones and when I was doing it for real",it was fine,no problems,no
w9f0ec53,,,No,"All good, thank you!"
wb7e5d45,not confusing and practice round helped,no,no problems,a fun study thank you
w8781adf,"No, they were fine",No,No,"It was frustrating, but fun.  I'd like to see all the pairs at the end so I could see where I went wrong."
w8928610,"The last task key press instructions were  confusing. As a result, I performed very poorly.",Please see above :),I messaged you about images not displaying on final task but actually think the key presses were confusing me - would have appreciated more practice rounds to get used to how this worked before starting final task.,I hope you accept my submission even though the last task key presses confused me but if you would like me to return it then please let me know. Thank you. 
w2578e83,,,,
wa4a9711,yes - more time needed to explain the use of keys in the last task,,,
w1b146db,"In the final part of the study, I had forgotten which key I needed to press to type in the answer, but other than that the instructions were okay.","No, it was straightforward.",None,"I enjoyed the study but it showed how bad my memory is. I always thought I had a good memory! It was fun and fast, which I enjoyed. Thank you and good luck with your research."
w0d4d2ba,"no, okay once I got the hang of it",the df and jd keys were confusing. the mouse might have been easier,I pressed the d key a couple of times instead of j and so the image did not display and there was no way back,No account for minor spelling errors/typos when the word was correct.
w8498b46,I needed a reminder re the instructions for the 2 pictures together. ,no,no,
w70b80f6,no,no,no,"yes, the maths questions were impossible, no time to even read it let alone write the answer so i gave up."
wcaa32db,,,,
w1533387,"No, instructions were fine","No, easy to use",No technical problems,I needed to see the pictures and words at least one more time if not two to be able to remember them!
w98502ad,,,,
w52f58d5,"no, was alright","nope, was easy",no,
w03d963e,"Nope, worked well",Nope,Nope,Worked well
w53c2666,Instructions were good and simple to understand,No,No,
wf14d439,No the instructions were good.,No it was good.,None.,good study
wbf7f77d,"The instructions were not difficult, I found the actual task incredibly difficult though.",No,No,No
w03edd4e,ok,no,no,
w3d151d9,easy and comprehensive. last stage a reminder of the keys while playing or practice round may be useful,no,no,
wd69bf66,I read them twice but no problem.,No,No,No
wafe4521,The last round seemed needlessly hard. I trialled and errored for a bit,"Again, round 3, it would be easier to view with D,F and submit with J,K (left to right, step 1, step 2)",no,"would be nice to see an average score, calculated in real time, to see how I fared"
w230260e,no the instructions were very good,no very straightforward,no,
w8f8099f,No,No,No,I'm not sure what the aim of this study is maybe you could get people to recite the words instead of typing them out as I'm dyspraxic and dyslexic and timed out now and again because I was making sure that I'd spelt a word correctly. 
w2e55e2d,There were nothing confusing or hard to understand anyway.,Not at all.,N/A,
w7be4ba2,The instructions were simple,No very easy ,No all worked fine ,
wb7fe29b,No,"No, other than the very last part with the gray boxes.  It took a bit of playing around to realize what did what.",No,
waf64915,not at all,no,no,no
w4850c46,no,Yeah. I had a little trouble getting used to the buttons,no,
wb9b0f7f, They were quite clear,No,No,
w898135d,"No, it was understandable",No,No,The maths challenge was way too fast! 
w3301b2f,No,Not at all,No,That was very difficult
w26196b4,They were all right,The 3 rd round needed much stronger concentration,no,I enjoyed this brain training thanks for the opportunity
w45dc098,no but it was hard,no,no,fun
w6f9c389,No,no,no,"It was really fun and really made me think and use my brain, thank you for adding me"
w716ab3d,a bit confusing for the last round,no,no,
w28e5159,fairly easy to understand,fairly easy to use ,no problems,
w01e5b79,no ,no,no,
w21ceff8,Instructions were fine,no,no,too many images to be able to remember 
w3619539,no,no,no,"That was fun!  Thanks, I really enjoyed doing this one!!"
